*,2022 Fletch
=,MFG,MDL,GRS,LEN,HGT,FTYPE
-,VaneTec
QuikSpinST 4.0,12,4,0.4,Vane
QuikSpin SpeedHunter,5.8,2,0.53,Vane
QuikSpin 1.5,3.2,1.5,0.375,Vane
QuikSpin 2.25,5,2.25,0.375,Vane
Quikspin 3.125,7.2,3.125,0.45,Vane
QuikSpin 4.0,12.8,4,0.531,Vane
-,Nockturnal
Helios,54,1.8,0.375,Vane
-,Outer Limit Archery,
Blood,31,2,0.49,Vane
-,Pine Ridge
Nitro 2.0 Parabolic,6,2,0.4,Vane
Nitro 2.2 Parabolic,6.2,2.2,0.4,Vane
-,PSE
Pro-Fletch PF230,2.8,2.3,0.3,Vane
Pro-Fletch PF280,3.6,2.8,0.35,Vane
Pro-Fletch PF320,7.2,3.2,0.4,Vane
Pro-Fletch PF400,11.5,4,0.475,Vane
Pro-Fletch PF500,14.8,5,0.55,Vane
-,Q2i
Rapt-X,7,2,0.55,Vane
Raptor-II 2.0,7.5,2,0.55,Vane
Fusion-II 2.1,7.5,2.1,0.55,Vane
Duravane X,12,4,0.55,Vane
Predator X,7,2,0.55,
Griff-X 1.8,4.7,1.8,0.38,Vane
Griff-X 2.3,6.71,2.3,0.43,Vane
Griff-X 3.0,8.85,3,0.43,Vane
FusionX-II SL 1.5,3.7,1.5,0.35,Vane
FusionX-II SL 1.75,4.3,1.75,0.35,Vane
FusionX-II SL 2.1,5.3,2.1,0.35,Vane
FusionX-II 1.5,4.25,1.5,0.43,Vane
FusionX-II 1.75,4.5,1.75,0.43,Vane
FusionX-II 2.1,5.8,2.1,0.43,Vane
FusionX-II 3.0,9.5,3,0.45,Vane
FusionX-II 3.5,11,3.5,0.47,Vane
FusionX-II 4.0,12.5,4,0.49,Vane
Predator-II 2.0,6.5,2,0.53,Vane
DV-II 3.0,8.7,3,0.54,Vane
DV-II 4.0,11.7,4,0.55,Vane
-,ELI
IR3,1.75,3,0.375,SpinWing
S,0.8,3,0.374,Vane
P2,1.5,2,0.374,Vane
P3,1.6,2,0.406,Vane
-,Gas Pro
GS-200,4.8,2,0.36,Vane
GS-275,4.2,2.75,0.3,Vane
GX-187,3.7,1.87,0.37,Vane
GP-200,3.7,2,0.37,Vane
GP-400,6.5,4,0.35,Vane
GP-280,8,2.8,0.5,Vane
Olympic,0.5,1.75,0.375,SpinWing
Field M,1,2,0.375,SpinWing
Field H,1.4,2,0.375,SpinWing
Recurve,0.8,2,0.375,SpinWing
Target,1.4,2.5,0.375,SpinWing
Indoor,2.4,4.75,0.375,SpinWing
-,XSWings
30mm Soft,1.2,1.18,0.375,Vane
30mm Hard,1.4,1.18,0.375,Vane
50mm Soft,1.8,1.97,0.375,Vane
50mm Hard,2.2,1.97,0.375,Vane
70mm Soft,2,2.76,0.375,Vane
70mm Hard,2.6,2.76,0.375,Vane
Metallic 40mm,0.8,1.57,0.375,SpinWing
Metallic 50mm,1.6,1.97,0.375,SpinWing
Metallic 60mm Soft,1.8,2.36,0.375,SpinWing
Metallic 60mm Hard,2,2.36,0.375,SpinWing
Metallic 70mm Soft,2,2.76,0.375,SpinWing
Colored 40mm,1.6,1.57,0.375,SpinWing
Colored 50mm,1.6,1.97,0.375,SpinWing
Colored 60mm Low,1.8,2.36,0.375,SpinWing
Colored 60mm High,2,2.36,0.4,SpinWing
-,Invictus
3D 2.1,1.7,2.125,0.375,SpinWing
Indoor 2.75,2.5,2.75,0.375,SpinWing
-,K&K
KSL Jet6 1.75,0.7,1.75,0.375,SpinWing
KSL Jet6 2.0,1,2.0,0.375,SpinWing
KSL Jet6 SV 1.75,0.7,1.75,0.375,SpinWing
KSL Jet6 SV 2.0,1,2.0,0.375,SpinWing
KSL Jet6 SV 2.5,1.3,2.5,0.375,SpinWing
-,Kurly Vanes
Mylar 45mm,0.7,1.75,0.375,SpinWing
Mylar 55mm,1,2.19,0.375,SpinWing
Mylar 70mm,1.4,2.81,0.375,SpinWing
-,Range-O-Matic
Elite 1 9/16,0.4,1.56,0.375,SpinWing
Elite 1 3/4,0.6,1.75,0.375,SpinWing
