*,2022 Nock
=,MFG,MDL,GRS,GRSBP
-,Accunock
CX Beiter-A,13,0
CX Beiter-S,13,0
3D Select CX Beiter-A,18,0
3D Select CX Beiter-S,22,0
3D Select CXL InLine,5,12
3D Select CXL Beiter-A,18,0
3D Select CXL Beiter-S,22,0
Terminator InLine,5,7
Terminator Beiter-A,18,0
Terminator Beiter-S,22,0
Terminator Hunter InLine,5,7
Terminator Hunter Beiter-A,13,0
Terminator Hunter Beiter-S,13,0
-,Carbon Impact
Press Fit,10.3,0
RotoNock,4.5,6.5
-,Carbon Tech
McKinney Pin Nock,4.2,8
Whitail Pin Nock,4.2,12.1
Rhino Pin Nock,4.2,12.1
Cheetah Pin Nock,4.2,12.1
Panther Pin Nock,4.2,12.1
Hippo Pin Nock,4.2,20.3
-,Cartel
Triple Pin,2.9,9.8
Triple Slip-On,6.5,0
X-Pert Pin,2.9,8
-,Clean-Shot
Contender,23.0,0
Nock Out G,21.0,0
Nock Out X,22.0,0
Nock Out H,23.0,0
Nock Out S/GT,24.0,0
-,DoubleTake
Nocturnal,20,0
-,Easton
ACE "G",7,0
ACE 1206-STD,5,0
ACE Pin,2,8
ACE "G" Pin,4,0
Deep Six,6,0
Pin Nock,2,8
X10 Pin,2,8
X10 "G" Pin,4,8
X10 Over Nock,8.5,0
Super,13,0
MicroLite 4mm,6,0
MicroLite 6.5mm,8,0
MicroLite Super,7.5,0
3D Super,12,0
ST 'X',9,0
ST 'H',10,0
Tracer Rli Super,29,0
Tracer Rli X,25,0
Tracer Rli MicroLite,23.5,0
Tracer 'S',25,0
Tracer 'X',22,0
Tracer 'H',23,0
-,FireNock
G-SU 242,27,0
G-AU 202,24,0
G-EU 229,25,0
G-GS 242,27,0
G-GH 297,29,0
G-GF 297,29,0
G-GA 202,24,0
G-GE 229,25,0
G-S1 242,27,0
G-A1 202,24,0
G-E1 229,25,0
G-C1 301,29,0
G-F1 301,29,0
G-ST 242,27,0
G-AT 202,24,0
G-ET 229,25,0
G-LG 242,27,0
-,G5
GForce 204,24,0
GForce 244-246,38,0
META CE Nano#1,8.9,0
META CE Nano#2,8.6,0
META 204,9,0
META 244,10.8,0
META 246,11,0
-,Game Tracker
TCX,8.7,0
-,GloryNock
G,20.0,0
204,21.0,0
244,23.0,0
246,24.0,0
-,Gold Tip
GTO Nock,5,0
AccuTough Kinetic,11.6,0
GT Nock,11.5,0
GT-pre11 Nock,13.2,0
AccuLite,8.3,0
246 GT Pin,6.1,11.6
246 HD Pin,2.8,11.6
GT Series22 Nock,13.2,0
GT Series22 GT Pin,2.8,13
GT Series22 HD Pin,6.1,13
X-Cutter GT Nock,15.8,0
X-Cutter GT Pin,2.8,17.4
X-Cutter HD Pin,6.1,17.4
Triple-X GT Pin,2.8,19.6
Triple-X HD Pin,6.1,19.6
30X GT Nock,14.4,0
30X GT Pin,2.8,18
30X HD Pin,6.1,18
Lock Nock,15,0
GT Lock Nock,15,0
Series22 Lock Nock,17,0
X-Cutter Lock Nock,19,0
-,Harvest Time
HT-1 F-Nock,5.7,0
HT-1 Vengeance,5.7,0
HT-1 Pin,2.5,7.7
HT-2 Std Nock,8.9,0
HT-2 Harvester,8.9,0
HT-2 Pin,2.5,13.3
HT-3 Std Nock,12.3,0
HT-3 Virtue,12.3,0
HT-3 Pin,2.5,24.5
HT-4 Pin,2.5,15.1
HT-4 UBV,5.7,20
HT-4 Std Nock,0,15.1
HT-4 Redemption,0,15.1
RugRatz,5.7,0
-,High Country
HCA Regular,8,0
Speed Pro,4,0
-,Magnock
Size#1 SuperMagnumTi,4.8,19.1
Size#2 MagnumTi,4.8,8.6
Size#3 MagnumTi,4.8,12
Size#4 Magnum,4.8,8.5
-,NAP
Thunderball SuperUni,27.5,0
Thunderball X-Nock,27.5,0
-,Nockturnal
Helios,54,0
S,20,0
H,20,0
X,20,0
GT,20,0
G,12.3,0
-,NuFletch
Ignitor,24.0,0
204,20.0,0
224,21.0,0
233,22.0,0
244,23.0,0
-,PSE
Carbon Force,13,0
-,QAD
Tune-A-Nock,4,0
-,Turbo Nock
Dead-X,44,0
Dead-X Glow,44,0
Hunter,54,0
Hunter Glow,54,0
HTX,37,0
HTAX,39,0
HTAX2,39,0
T-4,11,0
T-4 Glow,11,0
-,TGB
Lighted,24,0
STD S-Type,12,0
STD Weighted,24,0
-,Tracer
Magnetic,34,0
Touch OnOff,35,0
-,Victory
IP,8,0
PIN,3,0
A-Nock,7,0
F-Nock,6,0
R-Nock,15,0
V-Nock,15,0
Blazer,9,0
Lighted Spot,24,0
Lighted SS Spot,26,0
ACNPINR-12,5,12
-,X-Spot
PIN,4,8
S,12,0
-,EOF
