*,2022 Shafts
=,MFG,MDL,SIZE,USE,OD,STKLEN,SPINE,GPI,PI,BPC,STDN
-,ABC
ICS WhiteOut,500,HC,0.291,31,0.5,7.5,21,0,13
ICS WhiteOut,400,HC,0.294,31.5,0.4,8.1,21,0,13
ICS WhiteOut,340,HC,0.298,32,0.34,8.8,21,0,13
ICS WhiteOut,300,HC,0.301,32.5,0.3,9.6,21,0,13
ICS Hunter RealTree,500,HC,0.291,31,0.5,7.5,21,0,8
ICS Hunter RealTree,400,HC,0.294,31.5,0.4,8.1,21,0,8
ICS Hunter RealTree,340,HC,0.298,32,0.34,8.8,21,0,8
ICS Hunter RealTree,300,HC,0.301,32.5,0.3,9.6,21,0,8
Centershot,600,HC,0.273,31,0.6,7.1,18,0,9
Centershot,500,HC,0.279,31,0.5,8.3,18,0,9
Centershot,400,HC,0.286,31.5,0.4,9.6,18,0,9
Centershot,340,HC,0.29,32,0.34,10.3,18,0,9
Centershot,600-50,HC,0.273,31,0.6,7.1,50,0,9
Centershot,500-50,HC,0.279,31,0.5,8.3,50,0,9
Centershot,400-50,HC,0.286,31.5,0.4,9.6,50,0,9
Centershot,340-50,HC,0.29,32,0.34,10.3,50,0,9
Centershot,600-75,HC,0.273,31,0.6,7.1,75,0,9
Centershot,500-75,HC,0.279,31,0.5,8.3,75,0,9
Centershot,400-75,HC,0.286,31.5,0.4,9.6,75,0,9
Centershot,340-75,HC,0.29,32,0.34,10.3,75,0,9
ICS Defender,500,HC,0.287,31,0.5,7.3,21,0,13
ICS Defender,400,HC,0.294,31.5,0.4,8.4,21,9,13
ICS Defender,340,HC,0.298,32,0.34,9.3,21,9,13
ICS Defender,300,HC,0.3,32.5,0.3,9.5,21,9,13
ICS Defender Elite,400,BC,0.294,31.5,0.4,8.4,21,9,13
ICS Defender Elite,340,BC,0.298,32,0.34,9.3,21,9,13
ICS Defender Elite,300,BC,0.3,32.5,0.3,9.5,21,9,13
ICS Hunter Patriot,500,BCd,0.284,31,0.5,7.3,22,0,12
ICS Hunter Patriot,400,BCd,0.294,31.5,0.4,8.4,22,0,12
ICS Hunter Patriot,340,BCd,0.298,32,0.34,9.3,22,0,12
ICS Hunter Patriot,300,BCd,0.3,32.5,0.3,9.5,22,0,12
ICS Hunter Patriot,500 G-UNI,BCd,0.284,31,0.5,7.3,22,9,12
ICS Hunter Patriot,400 G-UNI,BCd,0.294,31.5,0.4,8.4,22,9,12
ICS Hunter Patriot,340 G-UNI,BCd,0.298,32,0.34,9.3,22,9,12
ICS Hunter Patriot,300 G-UNI,BCd,0.3,32.5,0.3,9.5,22,9,12
Spe3D,500,TCd,0.284,31,0.5,6.9,10,0,12
Spe3D,400,TCd,0.294,31.5,0.4,7.4,10,0,12
Spe3D,340,TCd,0.298,32,0.34,8.2,10,0,12
Spe3D,300,TCd,0.3,32.5,0.3,8.7,10,0,12
Spe3D,500 G-UNI,TCd,0.284,31,0.5,6.9,10,9,12
Spe3D,400 G-UNI,TCd,0.294,31.5,0.4,7.4,10,9,12
Spe3D,340 G-UNI,TCd,0.298,32,0.34,8.2,10,9,12
Spe3D,300 G-UNI,TCd,0.3,32.5,0.3,8.7,10,9,12
Diva,500 G-UNI,TCd,0.344,32.25,0.5,7.1,40,13,12
Diva,500 S-UNI,TCd,0.344,32.25,0.5,7.1,40,9,12
DeadRinger,500 G-UNI,TCd,0.344,32.25,0.5,7.2,40,13,12
DeadRinger,400 G-UNI,TCd,0.345,32.25,0.4,7.9,40,13,12
